Test,Hat
120.4,124.11824
117.1,125.756485
122.39,134.3542
130.81,131.69427
115.34999999999998,135.39543
129.56,127.16883
133.64,133.2986
107.22,129.40482
142.89,135.0214
127.01,133.67206
139.3,129.4734
136.74,139.81126
149.77,136.43369
126.5,131.3488
140.73,134.74883
130.71,119.04747
135.62,137.94939
127.41,131.38219
137.39,126.51664
109.39,120.08014
133.02,121.84687
126.55,144.56145
135.91,133.35837
128.99,127.15282
126.58,130.89354
121.38,129.84242
130.41,122.493706
120.36,126.36393
130.5,128.04268
144.72,127.299126
140.21,135.93806
158.14000000000001,124.387375
145.96,138.35031
132.38,136.31133
150.88,137.23988
133.76,123.21643
113.77,134.88837
168.35,145.7223
132.91,122.215164
117.66,128.1757
124.24,134.74861
115.85999999999999,124.693924
129.97,129.64714
114.04,128.45676
148.0,125.60744
141.61,135.39926
106.25,122.297676
144.91,124.825165
128.03,140.8867
130.11,127.83917
123.74,131.15755
142.28,133.1854
132.06,133.33577
131.02,132.99663
144.82,132.41028
128.73,123.35972
139.81,132.91423
130.45,136.66832
127.97,136.20134
125.37,130.547
138.05,143.56212
136.86,133.95406
127.29,132.61774
131.21,139.74878
123.0,132.9067
147.11,145.77838
138.85,134.17601
118.93,126.92826
143.25,123.22665
134.55,132.17056
120.86,127.75414
127.71,130.99297
121.6,134.30054
143.3,141.1252
173.33999999999997,128.6298
110.05,121.24023
150.97,140.33757
123.47000000000001,131.4593
123.65,130.53459
128.15,138.03825
129.48,136.761
127.27,133.48203
117.97,124.07271
127.35,124.23776
139.57,136.67175
162.12000000000003,127.34032
135.36,139.19182
152.07,139.81332
134.4,133.45357
132.59,138.18259
139.02,136.7178
132.18,123.73746
131.4,136.69205
137.33,127.726204
135.19,140.31792
123.2,128.28923
128.84,136.05867
131.67,132.14178
129.71,122.251854
137.28,133.50217
129.06,125.23544
119.71,127.06092
148.96,143.10585
141.96,133.55847
140.44,129.53618
128.79,135.08191
146.18,122.43412
135.62,132.39339
126.99,134.63997
131.07,132.7462
126.41000000000001,128.7585
131.25,136.30493
127.26,124.859665
149.37,137.94173
134.81,124.43452
132.75,127.70103
113.57,119.34521
135.9,138.2375
143.14,133.9356
118.54,124.99762
121.44,123.11084
131.7,134.6994
136.13,136.26288
130.97,138.33192
131.05,131.27632
128.87,133.77155
119.53999999999999,122.0572
114.29,127.77116
123.3,134.12411
132.51,131.9683
128.88,134.73083
125.81,130.77301
140.89,133.81674
158.55,144.06001
139.67,133.1112
141.66,136.26
112.4511765,132.19592
139.59,132.54974
120.79000000000002,123.729065
132.5,130.88258
129.05,127.49523
148.87,140.76027
149.59,137.12831
172.41000000000003,146.84195
138.83,139.70773
142.93,137.81844
121.23,127.4306
126.44,129.31607
125.25,125.2085
136.33,137.31422
127.61,133.76561
108.39,120.35782
120.61,121.01279
154.75000000000003,141.30663
125.7,134.92824
151.05,134.44069
142.26,135.53339
150.23,132.0589
137.95,140.04329
123.99,127.55971
112.03,130.20097
116.588,133.06847
157.8,138.04222
