Test,Hat
135.77,137.85313
136.33,134.12408
124.4,133.60402
134.14,134.66954
119.46,135.67053
120.17,120.92599
129.13,137.69487
116.79,115.64943
130.37,138.09737
126.04,132.73709
138.34,133.90926
132.1,137.90594
128.69,131.03061
147.4,132.6651
132.75,136.50491
127.0,120.58781
139.34,133.22543
140.38,137.15523
137.13,137.97002
142.23,133.11847
116.22,131.5845
133.38,134.69781
129.62,117.837616
138.47,136.7425
141.45,139.62854
134.83,134.17612
114.06,118.83734
143.13,139.36423
127.87,130.8655
135.12,131.87581
129.33,135.02426
126.94,132.49414
128.68,129.62488
143.88,144.10834
129.24,130.22252
125.25,136.0403
142.27,142.24173
132.76,127.751686
145.07,119.1705
157.73,142.20396
133.21,134.13498
126.08,134.1204
129.43,133.97375
130.77,135.86017
129.87,126.535286
113.55,122.23249
135.21,137.5677
141.68,136.8681
126.36,129.52861
118.0,124.34029
151.45,143.49448
139.39,134.51263
125.95,128.86526
142.14,139.40366
115.34,126.97263
117.37400000000001,127.160965
137.35,138.05547
146.08,114.552505
120.32,121.763756
150.47,135.99188
132.52,136.11658
128.41,137.08366
144.9,130.22305
138.47,130.3588
128.28,130.82167
125.82,133.25995
127.09,118.92251
131.32,136.85056
123.88,134.05342
135.17,125.09768
142.79,134.91768
127.61,132.21266
136.54,137.58994
160.56,129.39194
114.95,121.95455
145.85,137.86333
133.82,138.48895
149.86,137.37888
124.01,137.26196
128.0,134.81999
140.39,132.41681
116.65,117.213326
140.01,137.642
154.68,133.3906
138.06,137.53406
135.31,129.38316
126.7,119.50564
135.7,133.45958
141.07,136.47665
135.79,127.22661
133.39,131.74283
152.69,132.09874
135.81,140.97865
128.68,134.31987
142.56,139.67287
143.64,131.37302
147.07,140.59715
134.71,140.39215
146.58,140.58932
148.06,138.03897
118.58,116.41178
134.01,136.78737
146.01,119.21159
150.61,141.26314
141.48,137.82614
127.87,134.1741
129.37,133.88779
142.26,139.40506
131.71,133.97096
137.86,115.008675
118.39,120.75196
132.93,130.74596
139.24,148.26674
136.27,130.28694
127.32,136.79549
148.3,134.38799
102.17,117.57306
143.51,135.48119
142.37,137.44987
143.23,139.20209
151.93,142.24869
134.42,129.91267
141.67,138.35188
138.75,134.88632
141.04,138.7555
134.51,134.75426
139.9,128.983
142.94,138.44278
140.65,137.41965
132.96,140.85449
136.73,139.39536
122.89,139.32489
133.84,126.36599
108.64727270000002,128.98834
133.93,136.54868
136.26,138.04088
125.29,137.25565
132.09,136.31114
130.82,135.58679
140.17,120.74853
118.48,125.09854
150.88,139.25998
120.43,117.11732
125.05,118.728195
133.03,133.47096
116.03,130.11827
131.83,126.97976
135.37,137.20575
150.12,138.14366
167.97000000000003,143.17545
148.38,137.25398
132.99,135.55852
134.6,124.92038
148.25,135.51114
126.56,137.61789
124.34,121.33232
146.64,132.18115
132.85,132.4108
133.11,132.7841
137.81,135.98967
131.66,134.5111
130.37,139.8565
112.23,116.64265
130.23,137.0795
121.09,119.283966
131.79,135.96819
144.52,132.9275
132.56,137.15099
118.53,122.74082
144.41,137.07591
124.07,119.67375
124.44999999999999,127.81741
143.27,138.14304
150.75,135.82771
137.45,134.6015
130.25,135.77905
124.41,128.3646
122.05,134.5387
113.08,121.07259
131.06,135.13007
122.31,137.29248
131.12,128.89516
127.58,130.45724
134.12,143.38727
127.23,140.45631
151.37,135.6499
127.05,134.742
135.35,138.73154
133.55,122.38987
133.32,147.10306
127.37,118.00531
146.87,132.86415
118.94,127.66867
124.87,118.56548
126.47,136.1327
126.62999999999998,132.39566
146.46,139.00626
164.99,149.2738
129.72,121.44627
128.44,133.88284
127.47,133.9488
109.6781818,122.517426
111.57,118.77257
132.67,132.30023
147.63,138.92018
137.54,125.94479
143.66,137.89435
129.89,136.92139
128.81,138.14906
134.2,128.6642
158.48,150.8879
140.92,134.17049
135.86,136.7254
141.36,128.85976
124.4,131.57323
144.02,138.15025
128.61,136.37135
128.62,133.27928
135.71,137.71335
154.15,141.72177
137.93,139.59027
117.51,121.4555
118.88,115.71635
144.57,142.45586
145.32,118.85264
147.53,139.72417
152.42,139.58563
125.3,121.25206
124.28,135.51299
117.33000000000001,123.312126
109.17,131.72908
129.97,137.57019
134.12,140.24052
109.46999999999998,118.37926
143.31,136.4528
141.82,137.04236
106.4,115.75773
113.55,122.9627
139.46,129.7602
121.72,125.65571
138.26,127.44858
142.65,139.00716
145.89,138.3149
123.84,126.70711
125.98,131.84209
122.31,132.05728
130.78,138.73381
152.42,123.112625
125.35,134.46402
140.23,138.26619
139.16,134.96439
143.99,134.15614
122.06,123.60442
132.35,140.27281
141.16,137.27205
134.68,132.1625
127.56,137.78516
175.32000000000002,146.61304
123.32,137.06303
135.81,124.47971
132.25,138.83339
129.69,138.25595
124.87,123.01947
125.20000000000002,136.46594
139.82,139.28384
140.7,133.3785
103.41,114.81761
150.8,147.63025
134.99,139.24666
131.03,131.20499
132.43,133.38222
132.14,131.12453
139.33,137.85616
126.75,139.7769
137.06,137.00996
134.01,136.23088
115.53,117.05506
125.45000000000002,130.8815
127.51,125.18846
123.69999999999999,130.77885
135.01,125.6323
131.61,139.59608
106.74,118.79409
161.45,134.2779
137.09,135.72044
142.21,133.29616
134.96,131.72209
143.1,139.33719
150.41,138.47119
130.96,128.68321
117.21,117.913925
124.54,132.23676
132.77,139.15771
136.41,134.5631
135.09,137.29599
121.37,123.215675
139.07,137.53447
133.81,127.14599
110.73000000000002,119.05134
135.3,137.60744
129.76,133.72723
110.84,120.88786
135.77,137.25569
145.38,140.28957
133.09,139.91801
136.14,128.8061
136.13,137.22798
119.76999999999998,132.68372
155.08,138.30399
132.54,136.57092
147.56,136.84068
149.72,132.50443
145.62,140.70169
130.7,139.82838
146.97,138.41095
132.39,143.62842
149.32,137.53809
136.62,124.80765
122.84,127.30774
138.2,127.58835
132.58,136.83377
159.77,148.51495
107.98,116.360146
116.81999999999998,127.73766
137.03,133.44661
123.32,127.449425
146.9,138.05453
128.72,133.33301
147.73,138.62346
145.05,141.56221
137.74,137.91653
158.24,146.21045
138.45,132.29535
138.14,122.61619
113.22,123.54124
122.13,132.01949
136.2,134.05986
142.26,139.20274
125.91000000000001,126.625694
142.58,140.05148
137.15,136.65787
151.84,152.70653
134.21,133.30994
136.81,137.63919
141.71,136.91399
135.14,139.16083
135.26,122.23854
130.31,134.44568
140.28,138.25197
126.01,132.23201
121.35,132.09795
140.32,129.39398
135.98,133.11751
134.58,134.01512
